,index_x,completed_at,created_at,destination_address,destination_latitude,destination_longitude,duration,origin_address,origin_latitude,origin_longitude,origin_timestamp,ride_id,wait_time,date,month,day_of_week,orig_hour,orig_min,tot_orig_min,orig_sec,dropoff_hour,dropoff_min,drop_sec,pending_time,pickup_lat,pickup_long,pickup_time,dropoff_lat,dropoff_long,dropoff_time,cancel_time,noshow_time,noshow_trip,pickup_hour,pickup_min,pickup_sec,driver,vehicle,completed_trip,orig_lat_round_str,orig_lng_round_str,dest_lat_round_str,dest_lng_round_str,stringOrigCoords,stringDestCoords,origin_address_geocode,destination_address_geocode,USE_orig_lat,USE_orig_long,USE_dest_lat,USE_dest_long,old_origin_poi,origin_poi,old_destination_poi,destination_poi,pending_sec,od_pair,timePeriod1
98,98,2019-07-15 14:16:01-04:00,2019-07-15 12:59:47-04:00,IKEA,40.452779,-80.16833000000003,863.0,Wyndham Garden Pittsburgh Airport,40.465847,-80.1989809,2019-07-15 14:00:00-04:00,4714003,98.0,2019-07-15,7,Monday,14,0,840,50400,14,16,51361,2019-07-15 12:59:47-04:00,40.46596622,-80.19875932,2019-07-15 14:01:38-04:00,40.45299351,-80.16810587,2019-07-15 14:16:01-04:00,,,0,14.0,1.0,50498.0,actadriver1,2008,1,40.4658,-80.199,40.4528,-80.1683,"40.4658, -80.1986","40.4522, -80.1676","1 Industry Ln, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4658,-80.1986,40.4522,-80.1676,0,0,3.0,3,46787,"0, 3",14:00:00
557,557,2019-07-15 19:08:19-04:00,2019-07-15 18:44:26-04:00,"IKEA Park Manor Boulevard, Pittsburgh, PA, USA",40.452779,-80.16833000000003,12.0,"777 Aten Rd, Coraopolis, PA  15108, United States",40.46028434,-80.19265294,2019-07-15 18:44:27-04:00,4715671,1420.0,2019-07-15,7,Monday,18,44,1124,67467,19,8,68899,2019-07-15 18:44:26-04:00,40.45299971,-80.16812447,2019-07-15 19:08:07-04:00,40.45299971,-80.16812447,2019-07-15 19:08:19-04:00,,,0,19.0,8.0,68887.0,actadriver1,2008,1,40.4603,-80.1927,40.4528,-80.1683,"40.4606, -80.1927","40.4522, -80.1676","777 Aten Rd, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4606,-80.1927,40.4522,-80.1676,2,2,3.0,3,67466,"2, 3",18:30:00
584,584,2019-07-15 17:28:03-04:00,2019-07-15 17:11:54-04:00,IKEA,40.452779,-80.16833000000003,969.0,"777 Aten Rd, Coraopolis, PA  15108, United States",40.46101724,-80.1931009,2019-07-15 17:11:54-04:00,4714997,0.0,2019-07-15,7,Monday,17,11,1031,61914,17,28,62883,2019-07-15 17:11:54-04:00,40.46101724,-80.1931009,2019-07-15 17:11:54-04:00,40.45328835,-80.16822249,2019-07-15 17:28:03-04:00,,,0,17.0,11.0,61914.0,actadriver3,2064,1,40.461,-80.1931,40.4528,-80.1683,"40.4606, -80.1927","40.4522, -80.1676","777 Aten Rd, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4606,-80.1927,40.4522,-80.1676,2,2,3.0,3,61914,"2, 3",17:00:00
864,864,2019-07-15 11:09:03-04:00,2019-07-15 10:37:00-04:00,Pool City,40.452779,-80.16833000000003,,IKEA,40.452779,-80.16833000000003,2019-07-15 10:40:00-04:00,4713579,,2019-07-15,7,Monday,10,40,640,38400,11,9,40143,2019-07-15 10:37:00-04:00,40.452779,-80.16833000000003,2019-07-15 11:09:03-04:00,40.452779,-80.16833000000003,2019-07-15 11:09:03-04:00,,2019-07-15 11:09:03-04:00,1,11.0,9.0,40143.0,actadriver1,2008,1,40.4528,-80.1683,40.4528,-80.1683,"40.4522, -80.1676","40.4522, -80.1676","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4522,-80.1676,40.4522,-80.1676,3,3,3.0,3,38220,"3, 3",10:30:00
1991,1991,2019-07-15 15:38:20-04:00,2019-07-15 15:16:09-04:00,IKEA,40.452779,-80.16833000000003,1104.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 15:16:10-04:00,4714435,226.0,2019-07-15,7,Monday,15,16,916,54970,15,38,56300,2019-07-15 15:16:09-04:00,40.46663061,-80.20312118,2019-07-15 15:19:56-04:00,40.45329608,-80.1682059,2019-07-15 15:38:20-04:00,,,0,15.0,19.0,55196.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,54969,"4, 3",15:15:00
1994,1994,2019-07-15 20:23:45-04:00,2019-07-15 20:12:55-04:00,IKEA,40.452779,-80.16833000000003,579.0,IBEX Global,40.467234999999995,-80.202647,2019-07-15 20:12:55-04:00,4716347,71.0,2019-07-15,7,Monday,20,12,1212,72775,20,23,73425,2019-07-15 20:12:55-04:00,40.46671334,-80.20313334,2019-07-15 20:14:06-04:00,40.45295172,-80.16818189,2019-07-15 20:23:45-04:00,,,0,20.0,14.0,72846.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,72775,"4, 3",20:00:00
2027,2027,2019-07-15 21:23:57-04:00,2019-07-15 20:37:25-04:00,IKEA,40.452779,-80.16833000000003,824.0,"200 Industry Dr, Coraopolis, PA 15108, USA",40.467234999999995,-80.202647,2019-07-15 20:37:25-04:00,4716497,1968.0,2019-07-15,7,Monday,20,37,1237,74245,21,23,77037,2019-07-15 20:37:25-04:00,40.46663254,-80.20317097,2019-07-15 21:10:13-04:00,40.45295399,-80.16819346,2019-07-15 21:23:57-04:00,,,0,21.0,10.0,76213.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,74245,"4, 3",20:30:00
2048,2048,2019-07-15 20:23:45-04:00,2019-07-15 20:13:36-04:00,IKEA,40.452779,-80.16833000000003,579.0,IBEX Global,40.467234999999995,-80.202647,2019-07-15 20:13:36-04:00,4716351,30.0,2019-07-15,7,Monday,20,13,1213,72816,20,23,73425,2019-07-15 20:13:36-04:00,40.46671334,-80.20313334,2019-07-15 20:14:06-04:00,40.45295172,-80.16818189,2019-07-15 20:23:45-04:00,,,0,20.0,14.0,72846.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,72816,"4, 3",20:00:00
2065,2065,2019-07-15 17:55:47-04:00,2019-07-15 17:42:22-04:00,IKEA,40.452779,-80.16833000000003,805.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 17:42:23-04:00,4715193,0.0,2019-07-15,7,Monday,17,42,1062,63743,17,55,64547,2019-07-15 17:42:22-04:00,40.46667261,-80.20310735,2019-07-15 17:42:22-04:00,40.45335541,-80.16804115,2019-07-15 17:55:47-04:00,,,0,17.0,42.0,63742.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,63742,"4, 3",17:30:00
2076,2076,2019-07-15 21:52:05-04:00,2019-07-15 21:41:34-04:00,IKEA,40.452779,-80.16833000000003,631.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 21:41:34-04:00,4716935,0.0,2019-07-15,7,Monday,21,41,1301,78094,21,52,78725,2019-07-15 21:41:34-04:00,40.46667194,-80.20308908,2019-07-15 21:41:34-04:00,40.45370542,-80.17145259,2019-07-15 21:52:05-04:00,,,0,21.0,41.0,78094.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,78094,"4, 3",21:30:00
2080,2080,2019-07-15 16:58:37-04:00,2019-07-15 16:41:56-04:00,IKEA,40.452779,-80.16833000000003,1001.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 16:41:56-04:00,4714833,0.0,2019-07-15,7,Monday,16,41,1001,60116,16,58,61117,2019-07-15 16:41:56-04:00,40.46647664,-80.2032703,2019-07-15 16:41:56-04:00,40.45330979,-80.16816977,2019-07-15 16:58:37-04:00,,,0,16.0,41.0,60116.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,60116,"4, 3",16:30:00
2122,2122,2019-07-15 18:30:33-04:00,2019-07-15 18:10:22-04:00,IKEA,40.452779,-80.16833000000003,1209.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 18:10:23-04:00,4715411,1.0,2019-07-15,7,Monday,18,10,1090,65423,18,30,66633,2019-07-15 18:10:22-04:00,40.46666582,-80.20318061,2019-07-15 18:10:24-04:00,40.45325029,-80.16714446,2019-07-15 18:30:33-04:00,,,0,18.0,10.0,65424.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,65422,"4, 3",18:00:00
2136,2136,2019-07-15 19:25:09-04:00,2019-07-15 19:16:32-04:00,IKEA,40.452779,-80.16833000000003,517.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 19:16:32-04:00,4715955,0.0,2019-07-15,7,Monday,19,16,1156,69392,19,25,69909,2019-07-15 19:16:32-04:00,40.46669377,-80.2031304,2019-07-15 19:16:32-04:00,40.45333885,-80.16809258,2019-07-15 19:25:09-04:00,,,0,19.0,16.0,69392.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,69392,"4, 3",19:15:00
2169,2169,2019-07-15 20:23:45-04:00,2019-07-15 20:14:59-04:00,IKEA,40.452779,-80.16833000000003,526.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 20:14:59-04:00,4716359,0.0,2019-07-15,7,Monday,20,14,1214,72899,20,23,73425,2019-07-15 20:14:59-04:00,40.46670827,-80.20314004,2019-07-15 20:14:59-04:00,40.45295172,-80.16818189,2019-07-15 20:23:45-04:00,,,0,20.0,14.0,72899.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,72899,"4, 3",20:00:00
2191,2191,2019-07-15 22:19:40-04:00,2019-07-15 22:19:02-04:00,IKEA,40.452779,-80.16833000000003,38.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 22:19:03-04:00,4717127,0.0,2019-07-15,7,Monday,22,19,1339,80343,22,19,80380,2019-07-15 22:19:02-04:00,40.46677139,-80.20302613,2019-07-15 22:19:02-04:00,40.45327376,-80.1681834,2019-07-15 22:19:40-04:00,,,0,22.0,19.0,80342.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,80342,"4, 3",22:15:00
2212,2212,2019-07-15 22:19:23-04:00,2019-07-15 22:05:40-04:00,IKEA,40.452779,-80.16833000000003,823.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 22:05:40-04:00,4717069,0.0,2019-07-15,7,Monday,22,5,1325,79540,22,19,80363,2019-07-15 22:05:40-04:00,40.46664134,-80.20313007,2019-07-15 22:05:40-04:00,40.45327376,-80.1681834,2019-07-15 22:19:23-04:00,,,0,22.0,5.0,79540.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,79540,"4, 3",22:00:00
2218,2218,2019-07-15 11:24:29-04:00,2019-07-15 11:07:46-04:00,IKEA,40.452779,-80.16833000000003,1003.0,"200 Industry Dr, Coraopolis, PA  15275, United States",40.467234999999995,-80.202647,2019-07-15 11:07:47-04:00,4713659,0.0,2019-07-15,7,Monday,11,7,667,40067,11,24,41069,2019-07-15 11:07:46-04:00,40.46672327,-80.203061,2019-07-15 11:07:46-04:00,40.43234565,-80.1400705,2019-07-15 11:24:29-04:00,,,0,11.0,7.0,40066.0,actadriver3,2064,1,40.4672,-80.2026,40.4528,-80.1683,"40.467, -80.2035","40.4522, -80.1676","200 Industry Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.467,-80.2035,40.4522,-80.1676,4,4,3.0,3,40066,"4, 3",11:00:00
2752,2752,2019-07-15 17:50:15-04:00,2019-07-15 17:29:22-04:00,IKEA,40.452779,-80.16833000000003,383.0,TownePlace Suites Pittsburgh Airport,40.45503373,-80.17259739,2019-07-15 17:29:22-04:00,4715091,870.0,2019-07-15,7,Monday,17,29,1049,62962,17,50,64215,2019-07-15 17:29:22-04:00,40.45521559,-80.17271885,2019-07-15 17:43:52-04:00,40.44796441,-80.17579249,2019-07-15 17:50:15-04:00,,,0,17.0,43.0,63832.0,actadriver1,2008,1,40.455,-80.1726,40.4528,-80.1683,"40.4548, -80.1724","40.4522, -80.1676","1006 Sutherland Dr, Robinson Township, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4548,-80.1724,40.4522,-80.1676,8,8,3.0,3,62962,"8, 3",17:15:00
2754,2754,2019-07-15 15:07:24-04:00,2019-07-15 14:47:04-04:00,IKEA,40.452779,-80.16833000000003,272.0,TownePlace Suites Pittsburgh Airport,40.45503373,-80.17259739,2019-07-15 15:00:00-04:00,4714337,172.0,2019-07-15,7,Monday,15,0,900,54000,15,7,54444,2019-07-15 14:47:04-04:00,40.45523735,-80.172765,2019-07-15 15:02:52-04:00,40.45329253,-80.16821352,2019-07-15 15:07:24-04:00,,,0,15.0,2.0,54172.0,actadriver3,2064,1,40.455,-80.1726,40.4528,-80.1683,"40.4548, -80.1724","40.4522, -80.1676","1006 Sutherland Dr, Robinson Township, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4548,-80.1724,40.4522,-80.1676,8,8,3.0,3,53224,"8, 3",15:00:00
3213,3213,2019-07-15 17:37:25-04:00,2019-07-15 17:01:26-04:00,IKEA,40.452779,-80.16833000000003,77.0,"130 Enterprise Dr, Pittsburgh, PA 15275, USA",40.46211259,-80.19988887,2019-07-15 17:33:00-04:00,4714931,188.0,2019-07-15,7,Monday,17,33,1053,63180,17,37,63445,2019-07-15 17:01:26-04:00,40.45329521,-80.17211652,2019-07-15 17:36:08-04:00,40.45300683,-80.16807888,2019-07-15 17:37:25-04:00,,,0,17.0,36.0,63368.0,actadriver1,2008,1,40.4621,-80.1999,40.4528,-80.1683,"40.4622, -80.1998","40.4522, -80.1676","130 Enterprise Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4622,-80.1998,40.4522,-80.1676,9,9,3.0,3,61286,"9, 3",17:30:00
3231,3231,2019-07-15 18:10:24-04:00,2019-07-15 17:28:35-04:00,IKEA,40.452779,-80.16833000000003,304.0,Alliance RX Walgreens Prime,40.46191847,-80.19966088,2019-07-15 18:05:00-04:00,4715085,20.0,2019-07-15,7,Monday,18,5,1085,65100,18,10,65424,2019-07-15 17:28:35-04:00,40.46240421,-80.20012759,2019-07-15 18:05:20-04:00,40.46668275,-80.20315798,2019-07-15 18:10:24-04:00,,,0,18.0,5.0,65120.0,actadriver3,2064,1,40.4619,-80.1997,40.4528,-80.1683,"40.4622, -80.1998","40.4522, -80.1676","130 Enterprise Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4622,-80.1998,40.4522,-80.1676,9,9,3.0,3,62915,"9, 3",18:00:00
3239,3239,2019-07-15 17:42:22-04:00,2019-07-15 17:40:15-04:00,IKEA,40.452779,-80.16833000000003,126.0,"130 Enterprise Dr, Coraopolis, PA  15108, United States",40.46238333,-80.19988141,2019-07-15 17:40:16-04:00,4715179,0.0,2019-07-15,7,Monday,17,40,1060,63616,17,42,63742,2019-07-15 17:40:15-04:00,40.46238333,-80.19988141,2019-07-15 17:40:16-04:00,40.466697,-80.20312739,2019-07-15 17:42:22-04:00,,,0,17.0,40.0,63616.0,actadriver3,2064,1,40.4624,-80.1999,40.4528,-80.1683,"40.4622, -80.1998","40.4522, -80.1676","130 Enterprise Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4622,-80.1998,40.4522,-80.1676,9,9,3.0,3,63615,"9, 3",17:30:00
3259,3259,2019-07-15 19:25:09-04:00,2019-07-15 19:09:32-04:00,IKEA,40.452779,-80.16833000000003,937.0,"130 Enterprise Dr, Coraopolis, PA  15108, United States",40.46243694,-80.20017587,2019-07-15 19:09:32-04:00,4715887,0.0,2019-07-15,7,Monday,19,9,1149,68972,19,25,69909,2019-07-15 19:09:32-04:00,40.46243694,-80.20017587,2019-07-15 19:09:32-04:00,40.45333885,-80.16809258,2019-07-15 19:25:09-04:00,,,0,19.0,9.0,68972.0,actadriver3,2064,1,40.4624,-80.2002,40.4528,-80.1683,"40.4622, -80.1998","40.4522, -80.1676","130 Enterprise Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4622,-80.1998,40.4522,-80.1676,9,9,3.0,3,68972,"9, 3",19:00:00
3270,3270,2019-07-15 16:41:56-04:00,2019-07-15 16:36:20-04:00,IKEA,40.452779,-80.16833000000003,336.0,"130 Enterprise Dr, Coraopolis, PA  15108, United States",40.46240689,-80.20009347,2019-07-15 16:36:20-04:00,4714803,0.0,2019-07-15,7,Monday,16,36,996,59780,16,41,60116,2019-07-15 16:36:20-04:00,40.46240689,-80.20009347,2019-07-15 16:36:20-04:00,40.46657642,-80.20303527,2019-07-15 16:41:56-04:00,,,0,16.0,36.0,59780.0,actadriver3,2064,1,40.4624,-80.2001,40.4528,-80.1683,"40.4622, -80.1998","40.4522, -80.1676","130 Enterprise Dr, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4622,-80.1998,40.4522,-80.1676,9,9,3.0,3,59780,"9, 3",16:30:00
3469,3469,2019-07-15 14:14:02-04:00,2019-07-15 14:04:29-04:00,IKEA,40.452779,-80.16833000000003,323.0,"1002 Sutherland Dr, Pittsburgh, PA 15205, USA",40.45649068,-80.16931035,2019-07-15 14:04:30-04:00,4714187,249.0,2019-07-15,7,Monday,14,4,844,50670,14,14,51242,2019-07-15 14:04:29-04:00,40.45666861,-80.16936218,2019-07-15 14:08:39-04:00,40.45293831,-80.16814459,2019-07-15 14:14:02-04:00,,,0,14.0,8.0,50919.0,actadriver3,2064,1,40.4565,-80.1693,40.4528,-80.1683,"40.4563, -80.1693","40.4522, -80.1676","1002 Sutherland Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4563,-80.1693,40.4522,-80.1676,11,11,3.0,3,50669,"11, 3",14:00:00
3471,3471,2019-07-15 08:20:15-04:00,2019-07-15 07:16:07-04:00,IKEA,40.452779,-80.16833000000003,1730.0,IHOP,40.4564485,-80.16932740000001,2019-07-15 07:16:07-04:00,4712961,2118.0,2019-07-15,7,Monday,7,16,436,26167,8,20,30015,2019-07-15 07:16:07-04:00,40.45299787,-80.16812783,2019-07-15 07:51:25-04:00,40.45373208,-80.17140649,2019-07-15 08:20:15-04:00,,,0,7.0,51.0,28285.0,actadriver3,2064,1,40.4564,-80.1693,40.4528,-80.1683,"40.4563, -80.1693","40.4522, -80.1676","1002 Sutherland Dr, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4563,-80.1693,40.4522,-80.1676,11,11,3.0,3,26167,"11, 3",07:15:00
3761,3761,2019-07-15 16:18:42-04:00,2019-07-15 15:33:41-04:00,IKEA,40.452779,-80.16833000000003,404.0,Cigna Healthcare,40.4535316,-80.1886535,2019-07-15 15:33:42-04:00,4714517,2296.0,2019-07-15,7,Monday,15,33,933,56022,16,18,58722,2019-07-15 15:33:41-04:00,40.45388123,-80.18846308,2019-07-15 16:11:58-04:00,40.45298517,-80.16812313,2019-07-15 16:18:42-04:00,,,0,16.0,11.0,58318.0,actadriver1,2008,1,40.4535,-80.1887,40.4528,-80.1683,"40.4537, -80.189","40.4522, -80.1676","2000 Park Ln Dr #350, Pittsburgh, PA 15275, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4537,-80.189,40.4522,-80.1676,12,12,3.0,3,56021,"12, 3",15:30:00
4027,4027,2019-07-15 13:51:48-04:00,2019-07-15 13:29:49-04:00,IKEA,40.452779,-80.16833000000003,8.0,Alorica,40.4307602,-80.124015,2019-07-15 13:29:50-04:00,4714099,1310.0,2019-07-15,7,Monday,13,29,809,48590,13,51,49908,2019-07-15 13:29:49-04:00,40.45297532,-80.16811609,2019-07-15 13:51:40-04:00,40.45297532,-80.16811609,2019-07-15 13:51:48-04:00,,,0,13.0,51.0,49900.0,actadriver1,2008,1,40.4308,-80.124,40.4528,-80.1683,"40.4303, -80.1231","40.4522, -80.1676","5 Penn Center Blvd, Pittsburgh, PA 15205, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4303,-80.1231,40.4522,-80.1676,19,19,3.0,3,48589,"19, 3",13:15:00
4269,4269,2019-07-15 17:28:03-04:00,2019-07-15 17:00:59-04:00,IKEA,40.452779,-80.16833000000003,981.0,Walmart,40.447275,-80.17630799999998,2019-07-15 17:00:59-04:00,4714927,643.0,2019-07-15,7,Monday,17,0,1020,61259,17,28,62883,2019-07-15 17:00:59-04:00,40.46101611,-80.19309972,2019-07-15 17:11:42-04:00,40.45328835,-80.16822249,2019-07-15 17:28:03-04:00,,,0,17.0,11.0,61902.0,actadriver3,2064,1,40.4473,-80.1763,40.4528,-80.1683,"40.4477, -80.1761","40.4522, -80.1676","250 Summit Park Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4477,-80.1761,40.4522,-80.1676,20,20,3.0,3,61259,"20, 3",17:00:00
4274,4274,2019-07-15 22:41:25-04:00,2019-07-15 22:24:48-04:00,IKEA,40.452779,-80.16833000000003,269.0,"250 Summit Park Dr, Oakdale, PA  15275, United States",40.44744434,-80.17581102,2019-07-15 22:24:49-04:00,4717157,727.0,2019-07-15,7,Monday,22,24,1344,80689,22,41,81685,2019-07-15 22:24:48-04:00,40.44798308,-80.17566486,2019-07-15 22:36:56-04:00,40.45296723,-80.16811014,2019-07-15 22:41:25-04:00,,,0,22.0,36.0,81416.0,actadriver1,2008,1,40.4474,-80.1758,40.4528,-80.1683,"40.4477, -80.1761","40.4522, -80.1676","250 Summit Park Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4477,-80.1761,40.4522,-80.1676,20,20,3.0,3,80688,"20, 3",22:15:00
4278,4278,2019-07-15 21:41:34-04:00,2019-07-15 21:13:28-04:00,IKEA,40.452779,-80.16833000000003,548.0,"250 Summit Park Dr, Coraopolis, PA 15108, USA",40.44818502,-80.1759515,2019-07-15 21:13:27-04:00,4716733,1139.0,2019-07-15,7,Monday,21,13,1273,76407,21,41,78094,2019-07-15 21:13:28-04:00,40.44796847,-80.17575963,2019-07-15 21:32:26-04:00,40.46667587,-80.20312152,2019-07-15 21:41:34-04:00,,,0,21.0,32.0,77546.0,actadriver3,2064,1,40.4482,-80.176,40.4528,-80.1683,"40.4477, -80.1761","40.4522, -80.1676","250 Summit Park Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4477,-80.1761,40.4522,-80.1676,20,20,3.0,3,76408,"20, 3",21:00:00
4284,4284,2019-07-15 21:41:34-04:00,2019-07-15 21:13:24-04:00,IKEA,40.452779,-80.16833000000003,548.0,"250 Summit Park Dr, Coraopolis, PA 15108, USA",40.44781838,-80.17583247,2019-07-15 21:13:24-04:00,4716731,1142.0,2019-07-15,7,Monday,21,13,1273,76404,21,41,78094,2019-07-15 21:13:24-04:00,40.44796847,-80.17575963,2019-07-15 21:32:26-04:00,40.46667587,-80.20312152,2019-07-15 21:41:34-04:00,,,0,21.0,32.0,77546.0,actadriver3,2064,1,40.4478,-80.1758,40.4528,-80.1683,"40.4477, -80.1761","40.4522, -80.1676","250 Summit Park Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4477,-80.1761,40.4522,-80.1676,20,20,3.0,3,76404,"20, 3",21:00:00
4315,4315,2019-07-15 17:56:55-04:00,2019-07-15 17:50:15-04:00,IKEA,40.452779,-80.16833000000003,400.0,no address provided,40.44796441,-80.17579249,2019-07-15 17:50:15-04:00,4715253,0.0,2019-07-15,7,Monday,17,50,1070,64215,17,56,64615,2019-07-15 17:50:15-04:00,40.44796441,-80.17579249,2019-07-15 17:50:15-04:00,40.4529161,-80.16813386,2019-07-15 17:56:55-04:00,,,0,17.0,50.0,64215.0,actadriver1,2008,1,40.448,-80.1758,40.4528,-80.1683,"40.4477, -80.1761","40.4522, -80.1676","250 Summit Park Dr, Coraopolis, PA 15108, USA","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA",40.4477,-80.1761,40.4522,-80.1676,20,20,3.0,3,64215,"20, 3",17:45:00
