,index_x,completed_at,created_at,destination_address,destination_latitude,destination_longitude,duration,origin_address,origin_latitude,origin_longitude,origin_timestamp,ride_id,wait_time,date,month,day_of_week,orig_hour,orig_min,tot_orig_min,orig_sec,dropoff_hour,dropoff_min,drop_sec,pending_time,pickup_lat,pickup_long,pickup_time,dropoff_lat,dropoff_long,dropoff_time,cancel_time,noshow_time,noshow_trip,pickup_hour,pickup_min,pickup_sec,driver,vehicle,completed_trip,orig_lat_round_str,orig_lng_round_str,dest_lat_round_str,dest_lng_round_str,stringOrigCoords,stringDestCoords,origin_address_geocode,destination_address_geocode,USE_orig_lat,USE_orig_long,USE_dest_lat,USE_dest_long,old_origin_poi,origin_poi,old_destination_poi,destination_poi,pending_sec,od_pair,timePeriod1
20357,20436,2019-07-15 14:24:16-04:00,2019-07-15 14:16:51-04:00,Microtel Inn & Suites,40.4480928,-80.1822319,445.0,IKEA,40.452779,-80.16833000000003,2019-07-15 14:16:51-04:00,4714237,0.0,2019-07-15,7,Monday,14,16,856,51411,14,24,51856,2019-07-15 14:16:51-04:00,40.45299351,-80.16810587,2019-07-15 14:16:51-04:00,40.44781939999999,-80.18274897,2019-07-15 14:24:16-04:00,,,0,14.0,16.0,51411.0,actadriver1,2008,1,40.4528,-80.1683,40.4481,-80.1822,"40.4522, -80.1676","40.448, -80.1822","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","900 Chauvet Dr, Pittsburgh, PA 15275, USA",40.4522,-80.1676,40.448,-80.1822,3,3,144.0,137,51411,"3, 137",14:15:00
20488,20567,2019-07-15 12:41:37-04:00,2019-07-15 11:55:40-04:00,"100 Bayer Rd, Pittsburgh, PA 15205, USA",40.44342,-80.1688,29.0,IKEA,40.452779,-80.16833000000003,2019-07-15 12:22:00-04:00,4713787,1148.0,2019-07-15,7,Monday,12,22,742,44520,12,41,45697,2019-07-15 11:55:40-04:00,40.44073854,-80.14945043,2019-07-15 12:41:08-04:00,40.44022183,-80.14844536,2019-07-15 12:41:37-04:00,,,0,12.0,41.0,45668.0,actadriver1,2008,1,40.4528,-80.1683,40.4434,-80.1688,"40.4522, -80.1676","40.4409, -80.168","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","100 Bayer Rd, Pittsburgh, PA 15205, USA",40.4522,-80.1676,40.4437,-80.1689,3,3,37.0,37,42940,"3, 37",12:15:00
20639,20718,2019-07-15 21:38:45-04:00,2019-07-15 21:10:03-04:00,Printscape Imaging & Graphics,40.434407,-80.136324,505.0,"100 Park Manor Dr, Pittsburgh, PA 15205, USA",40.4484565,-80.16194701,2019-07-15 21:10:04-04:00,4716695,1216.0,2019-07-15,7,Monday,21,10,1270,76204,21,38,77925,2019-07-15 21:10:03-04:00,40.44888956,-80.16167083,2019-07-15 21:30:20-04:00,40.43424147,-80.13660265,2019-07-15 21:38:45-04:00,,,0,21.0,30.0,77420.0,actadriver1,2008,1,40.4485,-80.1619,40.4344,-80.1363,"40.4486, -80.1622","40.4345, -80.1363","100 Park Manor Dr, Pittsburgh, PA 15205, USA","760 Vista Park Dr, Pittsburgh, PA 15205, USA",40.4486,-80.1622,40.4345,-80.1363,136,130,22.0,22,76203,"130, 22",21:00:00
20698,20777,2019-07-15 13:24:28-04:00,2019-07-15 13:01:04-04:00,Days Inn Pittsburgh Airport,40.4588414,-80.1844115,1403.0,IKEA,40.452779,-80.16833000000003,2019-07-15 13:01:04-04:00,4714013,1.0,2019-07-15,7,Monday,13,1,781,46864,13,24,48268,2019-07-15 13:01:04-04:00,40.45296828,-80.16814861,2019-07-15 13:01:05-04:00,40.45865192,-80.18419158,2019-07-15 13:24:28-04:00,,,0,13.0,1.0,46865.0,actadriver1,2008,1,40.4528,-80.1683,40.4588,-80.1844,"40.4522, -80.1676","40.4588, -80.1843","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","2500 Market Place Bvld, Coraopolis, PA 15108, USA",40.4522,-80.1676,40.4588,-80.1843,3,3,138.0,131,46864,"3, 131",13:00:00
20729,20808,2019-07-15 08:26:23-04:00,2019-07-15 07:51:45-04:00,"400 Industry Dr, Coraopolis, PA 15108, USA",40.47126779999999,-80.2165813,368.0,"2001 Park Manor Blvd, Pittsburgh, PA 15205, USA",40.452779,-80.16833000000003,2019-07-15 08:10:00-04:00,4713085,615.0,2019-07-15,7,Monday,8,10,490,29400,8,26,30383,2019-07-15 07:51:45-04:00,40.45373208,-80.17140649,2019-07-15 08:20:15-04:00,40.47125453,-80.21731929,2019-07-15 08:26:23-04:00,,,0,8.0,20.0,30015.0,actadriver3,2064,1,40.4528,-80.1683,40.4713,-80.2166,"40.4522, -80.1676","40.4716, -80.2169","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","400 Industry Dr, Coraopolis, PA 15108, USA",40.4522,-80.1676,40.4716,-80.2169,3,3,59.0,59,28305,"3, 59",08:00:00
20836,20915,2019-07-15 06:13:31-04:00,2019-07-15 06:06:22-04:00,"Gateway Recycling, 28 Summit Park Dr, Pittsburgh, PA 15275, USA",40.45020870000001,-80.1917783,429.0,"2001 Park Manor Blvd, Pittsburgh, PA  15205, United States",40.452779,-80.16833000000003,2019-07-15 06:06:23-04:00,4712793,0.0,2019-07-15,7,Monday,6,6,366,21983,6,13,22411,2019-07-15 06:06:22-04:00,40.45290173,-80.16815507,2019-07-15 06:06:22-04:00,40.45045932,-80.19139289,2019-07-15 06:13:31-04:00,,,0,6.0,6.0,21982.0,actadriver3,2064,1,40.4528,-80.1683,40.4502,-80.1918,"40.4522, -80.1676","40.4501, -80.192","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","28 Summit Park Dr, Coraopolis, PA 15108, USA",40.4522,-80.1676,40.4501,-80.192,3,3,306.0,269,21982,"3, 269",06:00:00
20844,20923,2019-07-15 07:23:52-04:00,2019-07-15 07:12:58-04:00,"28 Summit Park Dr, 28 Summit Park Dr, Pittsburgh, PA 15275, USA",40.45020870000001,-80.1917783,654.0,IKEA,40.452779,-80.16833000000003,2019-07-15 07:12:58-04:00,4712957,0.0,2019-07-15,7,Monday,7,12,432,25978,7,23,26632,2019-07-15 07:12:58-04:00,40.45623194,-80.17065799,2019-07-15 07:12:58-04:00,40.45055224,-80.19103842,2019-07-15 07:23:52-04:00,,,0,7.0,12.0,25978.0,actadriver1,2008,1,40.4528,-80.1683,40.4502,-80.1918,"40.4522, -80.1676","40.4501, -80.192","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","28 Summit Park Dr, Coraopolis, PA 15108, USA",40.4522,-80.1676,40.4501,-80.192,3,3,306.0,269,25978,"3, 269",07:00:00
20910,20989,2019-07-15 10:47:05-04:00,2019-07-15 10:43:36-04:00,"Scoops & More, 7012 Steubenville Pike, Oakdale, PA 15071, USA",40.444625,-80.174266,209.0,IKEA,40.452779,-80.16833000000003,2019-07-15 10:43:37-04:00,4713587,0.0,2019-07-15,7,Monday,10,43,643,38617,10,47,38825,2019-07-15 10:43:36-04:00,40.45297649,-80.16810419,2019-07-15 10:43:36-04:00,40.44493741,-80.17406322,2019-07-15 10:47:05-04:00,,,0,10.0,43.0,38616.0,actadriver1,2008,1,40.4528,-80.1683,40.4446,-80.1743,"40.4522, -80.1676","40.4448, -80.1743","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","7012 Steubenville Pike, Oakdale, PA 15071, USA",40.4522,-80.1676,40.4448,-80.1743,3,3,156.0,147,38616,"3, 147",10:30:00
22036,22121,2019-07-15 06:18:47-04:00,2019-07-15 06:06:51-04:00,"173 Industry Dr, 173 Industry Dr, Pittsburgh, PA 15275, USA",40.464154,-80.20438299999998,716.0,"2001 Park Manor Blvd, Pittsburgh, PA  15205, United States",40.452779,-80.16833000000003,2019-07-15 06:06:51-04:00,4712795,0.0,2019-07-15,7,Monday,6,6,366,22011,6,18,22727,2019-07-15 06:06:51-04:00,40.45290173,-80.16815507,2019-07-15 06:06:51-04:00,40.46015446,-80.20270837,2019-07-15 06:18:47-04:00,,,0,6.0,6.0,22011.0,actadriver3,2064,1,40.4528,-80.1683,40.4642,-80.2044,"40.4522, -80.1676","40.4642, -80.2044","Park Manor Blvd at Ikea, Robinson Township, PA 15205, USA","173 Industry Dr, Pittsburgh, PA 15275, USA",40.4522,-80.1676,40.4642,-80.2044,3,3,311.0,273,22011,"3, 273",06:00:00
22100,22187,2019-07-15 14:25:42-04:00,2019-07-15 14:19:35-04:00,IKEA,40.4572293,-80.1667351,,"ALDI Costco Drive, Pittsburgh, PA, USA",40.4572293,-80.1667351,2019-07-15 14:19:35-04:00,4714249,,2019-07-15,7,Monday,14,19,859,51575,14,25,51942,2019-07-15 14:19:35-04:00,40.4572293,-80.1667351,2019-07-15 14:25:42-04:00,40.4572293,-80.1667351,2019-07-15 14:25:42-04:00,,2019-07-15 14:25:42-04:00,1,14.0,25.0,51942.0,actadriver3,2064,1,40.4572,-80.1667,40.4572,-80.1667,"40.4571, -80.167","40.4571, -80.167","100 Costco Dr, Pittsburgh, PA 15205, USA","100 Costco Dr, Pittsburgh, PA 15205, USA",40.4571,-80.167,40.4571,-80.167,52,52,52.0,52,51575,"52, 52",14:15:00
